date,classification,trades,total_pnl,total_volume,win_rate,unique_traders
2024-04-25,Greed,74.0,0.0,120241.01,,2.0
2024-04-26,Greed,3.0,0.0,4988.290000000001,,1.0
2024-04-27,Greed,27.0,4281.488139,154264.47,1.0,1.0
2024-04-28,Greed,58.0,0.0,43985.6,,2.0
2024-04-29,Greed,45.0,526.933836,108699.01,1.0,2.0
2024-04-30,Greed,24.0,0.0,125018.75,,1.0
2024-05-01,Neutral,14.0,0.0,87025.45000000001,,1.0
2024-05-03,Neutral,36.0,5306.0170450000005,282682.64999999997,0.8947368421052632,3.0
2024-05-04,Greed,9.0,0.0,58998.74999999999,,2.0
2024-05-05,Greed,6.0,0.916,24068.350000000002,1.0,2.0
2024-05-06,Greed,9.0,968.59038,206016.42999999996,1.0,1.0
2024-05-07,Greed,18.0,883.537693,108717.58,1.0,3.0
2024-05-08,Greed,13.0,1.56576,65973.57,0.5,2.0
2024-05-09,Greed,28.0,1147.595856,221966.12000000005,1.0,2.0
2024-05-10,Greed,22.0,2101.7416949999997,156882.00000000003,1.0,1.0
2024-05-11,Neutral,9.0,251.604742,63248.95,1.0,1.0
2024-05-12,Greed,23.0,0.0,55179.560000000005,,2.0
2024-05-13,Greed,28.0,2136.853859,193118.9,1.0,2.0
2024-05-14,Greed,23.0,1150.5233050000002,145853.4,1.0,1.0
2024-05-15,Greed,36.0,948.970582,234922.56999999998,1.0,1.0
2024-05-16,Greed,27.0,214.5898,162620.96000000002,1.0,2.0
2024-05-18,Greed,25.0,3522.394661,126303.14,1.0,1.0
2024-05-19,Greed,8.0,0.0,29998.09,,1.0
2024-05-20,Greed,10.0,-74.818442,38124.75,0.0,2.0
2024-05-21,Extreme Greed,125.0,7289.397572,1100948.5899999999,0.56,2.0
2024-05-22,Extreme Greed,6.0,0.0,44995.29,,1.0
2024-05-23,Extreme Greed,325.0,413.347329,401850.6,0.9294871794871795,3.0
2024-05-24,Greed,2.0,821.949278,50811.899999999994,1.0,1.0
2024-05-25,Extreme Greed,16.0,14.126039,29991.13,1.0,2.0
2024-05-26,Extreme Greed,16.0,778.6839,53976.67,1.0,2.0
2024-05-27,Greed,251.0,1129.3558699999999,151115.71999999997,0.967741935483871,1.0
2024-05-29,Greed,164.0,277.79195300000003,84268.76000000001,0.9577464788732394,2.0
2024-05-30,Greed,7.0,20.951433,2838.0899999999997,1.0,1.0
2024-05-31,Greed,13.0,25.35812,3636.14,1.0,1.0
2024-06-01,Greed,25.0,91.510419,12834.619999999999,1.0,1.0
2024-06-02,Greed,93.0,192.906947,29464.50999999999,1.0,1.0
2024-06-03,Greed,70.0,562.8082079999999,21466.86,1.0,1.0
